battle_id,thread_text,A_text,B_text,human_A_humor,human_A_punch,human_A_originality,human_A_relevance,human_B_humor,human_B_punch,human_B_originality,human_B_relevance,derived_overall_A,derived_overall_B
bb_000000,"A: Look, your planning feels like an Excel sheet with merged cellsand the results are tragic. I’ve seen stronger arguments in fortune cookies.
B: Honestly, your planning feels like an Excel sheet with merged cellsand the bar was already low. Your ideas have great vibes—shame about the content.
B: Your execution is a screenshot of a screenshotand the results are tragic.
A: That comeback is a CAPTCHA that fails twiceand the plot is missing.",That comeback is a CAPTCHA that fails twiceand the plot is missing.,Your execution is a screenshot of a screenshotand the results are tragic.,74.8,87.2,68.0,90.6,82.3,85.4,84.4,85.2,79.2,84.2
bb_000001,"A: Okay but, your confidence feels like a Monday morning meetingyet you act like it’s revolutionary. You’re the reason ‘edge case’ has feelings.
B: Respectfully, your logic is like an Excel sheet with merged cellsand the bar was already low.","Okay but, your confidence feels like a Monday morning meetingyet you act like it’s revolutionary. You’re the reason ‘edge case’ has feelings.","Respectfully, your logic is like an Excel sheet with merged cellsand the bar was already low.",84.9,64.8,94.5,80.5,83.0,75.5,78.7,84.7,80.6,79.9
bb_000002,"A: Respectfully, your take is like a router that needs therapyand I still expected more.
B: Respectfully, your attention span feels like a screenshot of a screenshotand it’s not even close. If confusion was a sport, you’d be on scholarship.
A: Honestly, your vibe feels like a phone at 1% batterywith extra confidence, zero output. I’d explain it, but I left my crayons at home.","Honestly, your vibe feels like a phone at 1% batterywith extra confidence, zero output. I’d explain it, but I left my crayons at home.","Respectfully, your attention span feels like a screenshot of a screenshotand it’s not even close. If confusion was a sport, you’d be on scholarship.",93.1,87.3,86.6,87.4,97.7,83.9,87.0,88.1,88.9,89.5
bb_000003,"A: Listen, that comeback feels like a screenshot of a screenshotand the bar was already low. Your confidence is impressive; your accuracy is not.
B: Your confidence is a buffering video at 144pand that’s saying something.
B: Your confidence is an unskippable adlike it’s competing for worst-in-class.","Listen, that comeback feels like a screenshot of a screenshotand the bar was already low. Your confidence is impressive; your accuracy is not.",Your confidence is an unskippable adlike it’s competing for worst-in-class.,72.3,79.5,72.6,94.1,73.2,60.3,81.7,81.2,77.8,72.6
bb_000004,"A: Respectfully, your confidence is like a loading spinner with commitment issuesand the bar was already low.
B: Okay but, your argument feels like a phone at 1% batteryand the effort is… symbolic. You’re the reason ‘edge case’ has feelings.
B: Look, that comeback feels like a router that needs therapybut somehow louder. I’ve seen stronger arguments in fortune cookies.","Respectfully, your confidence is like a loading spinner with commitment issuesand the bar was already low.","Look, that comeback feels like a router that needs therapybut somehow louder. I’ve seen stronger arguments in fortune cookies.",85.6,74.0,87.1,88.9,91.7,61.5,93.6,91.3,83.0,83.0
bb_000005,"A: Respectfully, your logic feels like a CAPTCHA that fails twiceand I still expected more. Your strategy is basically ‘hope’ with a font change.
B: Your timing is a group project with no leaderlike it’s competing for worst-in-class.
A: Your planning is an unskippable adand it’s not even close.
B: Look, your planning feels like a router that needs therapyand the effort is… symbolic. Your strategy is basically ‘hope’ with a font change.","Honestly, your take feels like a CAPTCHA that fails twiceand that’s saying something. I’ve seen stronger arguments in fortune cookies.","Look, your planning feels like a router that needs therapyand the effort is… symbolic. Your strategy is basically ‘hope’ with a font change.",82.7,58.9,97.5,69.6,90.2,76.2,88.4,95.3,77.3,86.3
bb_000006,"A: Listen, your planning feels like a loading spinner with commitment issuesbut somehow louder. I’d explain it, but I left my crayons at home.
B: Your argument is a calendar invite with no agendaand that’s saying something.
A: Your logic is an Excel sheet with merged cellswith extra confidence, zero output.
B: Respectfully, your logic feels like an Excel sheet with merged cellsand the plot is missing. I’d explain it, but I left my crayons at home.","Your logic is an Excel sheet with merged cellswith extra confidence, zero output.","Respectfully, your logic feels like an Excel sheet with merged cellsand the plot is missing. I’d explain it, but I left my crayons at home.",83.9,78.0,92.4,85.5,93.4,83.1,90.2,93.7,84.5,89.5
bb_000007,"A: Respectfully, your attention span feels like a loading spinner with commitment issuesand I still expected more. Your confidence is impressive; your accuracy is not.
B: Look, your execution is like a buffering video at 144pand the effort is… symbolic.
A: Respectfully, your vibe feels like a screenshot of a screenshotand it’s not even close. You’re the reason ‘edge case’ has feelings.","Respectfully, your vibe feels like a screenshot of a screenshotand it’s not even close. You’re the reason ‘edge case’ has feelings.","Okay but, your logic is like a Monday morning meetingand the plot is missing.",91.2,91.8,87.9,92.5,80.0,83.7,87.1,49.0,90.7,78.2
bb_000008,"A: Honestly, your execution is like a PDF that won’t scrolland the plot is missing.
A: Look, your confidence is like a PDF that won’t scrolllike it’s competing for worst-in-class.
B: Not gonna lie, your attention span feels like an Excel sheet with merged cellsyet you act like it’s revolutionary. Your strategy is basically ‘hope’ with a font change.",Your attention span is a phone at 1% batteryand I still expected more.,"Not gonna lie, your attention span feels like an Excel sheet with merged cellsyet you act like it’s revolutionary. Your strategy is basically ‘hope’ with a font change.",72.8,55.9,84.5,59.8,74.6,45.0,78.9,90.8,68.7,69.2
bb_000009,"A: Listen, your execution is like an Excel sheet with merged cellsand it shows.
B: Your vibe is a loading spinner with commitment issuesand I still expected more.
A: Not gonna lie, your vibe is like a router that needs therapyand the effort is… symbolic.
B: Look, your confidence is like a buffering video at 144pand that’s saying something.","Respectfully, your logic feels like an Excel sheet with merged cellswith extra confidence, zero output. Even autocorrect gave up on you.","Look, your confidence is like a buffering video at 144pand that’s saying something.",100.0,79.2,96.6,45.7,62.7,61.1,88.4,92.9,84.8,73.2
